I,II,III,IV,V,Component#1,Component#2,X#1 (molar fraction),X#2 (molar fraction),"Temperature, K","Viscosity, cP",Reference (DOI),Component#1_SMILES,Component#2_SMILES
0,0,0,0,1,l-histidine,oxalic acid,0.333,0.667,318.15,0.3,10.1016/j.jcou.2022.102217,C1=C(NC=N1)CC(C(=O)O)N,C(=O)(C(=O)O)O
0,0,0,0,1,l-histidine,decanoic acid,0.333,0.667,318.15,0.3,10.1016/j.jcou.2022.102217,C1=C(NC=N1)CC(C(=O)O)N,CCCCCCCCCC(=O)O
0,0,0,0,1,l-lysine,dodecanoic acid,0.333,0.667,318.15,0.3,10.1016/j.jcou.2022.102217,C(CCN)CC(C(=O)O)N,CCCCCCCCCCCC(=O)O
0,0,0,0,1,l-cystine,decanoic acid,0.333,0.667,323.15,0.31,10.1016/j.jcou.2022.102217,C(C(C(=O)O)N)SSCC(C(=O)O)N,CCCCCCCCCC(=O)O
0,0,0,0,1,l-cystine,dodecanoic acid,0.333,0.667,323.15,0.31,10.1016/j.jcou.2022.102217,C(C(C(=O)O)N)SSCC(C(=O)O)N,CCCCCCCCCCCC(=O)O
0,0,1,0,1,choline chloride,glycerol,0.006,0.012,363.15,0.39,10.1016/j.fluid.2014.01.028,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
0,0,0,0,1,ethylamine hydrochloride,diethylenetriamine,0.5,0.5,313.15,0.39,10.1016/j.cjche.2020.07.004,CCN.Cl,C(CNCCN)N
0,0,0,0,1,l-alanine,decanoic acid,0.333,0.667,318.15,0.4,10.1016/j.jcou.2022.102217,CC(C(=O)O)N,CCCCCCCCCC(=O)O
0,0,0,0,1,l-histidine,dodecanoic acid,0.333,0.667,318.15,0.4,10.1016/j.jcou.2022.102217,C1=C(NC=N1)CC(C(=O)O)N,CCCCCCCCCCCC(=O)O
0,0,0,0,1,l-lysine,oxalic acid,0.333,0.667,318.15,0.4,10.1016/j.jcou.2022.102217,C(CCN)CC(C(=O)O)N,C(=O)(C(=O)O)O
0,0,1,0,1,choline chloride,glycerol,0.006,0.012,353.15,0.44,10.1016/j.fluid.2014.01.028,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
0,0,1,0,1,choline chloride,glycerol,0.013,0.027,363.15,0.47,10.1016/j.fluid.2014.01.028,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
0,0,1,0,1,choline chloride,glycerol,0.006,0.012,343.15,0.49,10.1016/j.fluid.2014.01.028,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
0,0,0,0,1,l-alanine,dodecanoic acid,0.333,0.667,318.15,0.5,10.1016/j.jcou.2022.102217,CC(C(=O)O)N,CCCCCCCCCCCC(=O)O
0,0,0,0,1,l-histidine,hexanoic acid,0.333,0.667,313.15,0.5,10.1016/j.jcou.2022.102217,C1=C(NC=N1)CC(C(=O)O)N,CCCCCC(=O)O
0,0,0,0,1,l-lysine,hexanoic acid,0.333,0.667,308.15,0.5,10.1016/j.jcou.2022.102217,C(CCN)CC(C(=O)O)N,CCCCCC(=O)O
0,0,1,0,1,choline chloride,glycerol,0.013,0.027,353.15,0.52,10.1016/j.fluid.2014.01.028,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
0,0,1,0,0,acetylcholine chloride,imidazole,0.4,0.6,353.15,0.56,10.1021/acs.iecr.7b02478,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1
0,0,1,0,1,choline chloride,urea,0.033,0.067,363.15,0.57,10.1021/je5001796,C[N+](C)(C)CCO.[Cl-],C(=O)(N)N
0,0,1,0,1,choline chloride,glycerol,0.006,0.012,333.15,0.57,10.1016/j.fluid.2014.01.028,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
0,0,1,0,1,choline chloride,glycerol,0.013,0.027,343.15,0.6,10.1016/j.fluid.2014.01.028,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
0,0,0,0,1,l-cystine,hexanoic acid,0.333,0.667,318.15,0.6,10.1016/j.jcou.2022.102217,C(C(C(=O)O)N)SSCC(C(=O)O)N,CCCCCC(=O)O
0,0,0,0,1,l-cystine,oxalic acid,0.333,0.667,318.15,0.6,10.1016/j.jcou.2022.102217,C(C(C(=O)O)N)SSCC(C(=O)O)N,C(=O)(C(=O)O)O
0,0,0,0,1,l-cystine,dodecanoic acid,0.333,0.667,318.15,0.6,10.1016/j.jcou.2022.102217,C(C(C(=O)O)N)SSCC(C(=O)O)N,CCCCCCCCCCCC(=O)O
0,0,0,0,1,l-lysine,decanoic acid,0.333,0.667,313.15,0.6,10.1016/j.jcou.2022.102217,C(CCN)CC(C(=O)O)N,CCCCCCCCCC(=O)O
0,0,1,0,1,choline chloride,glycerol,0.022,0.044,363.15,0.61,10.1016/j.fluid.2014.01.028,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
0,0,1,0,1,choline chloride,urea,0.033,0.067,353.15,0.63,10.1021/je5001796,C[N+](C)(C)CCO.[Cl-],C(=O)(N)N
0,0,1,0,0,acetylcholine chloride,imidazole,0.333,0.667,333.15,0.65,10.1021/acs.iecr.7b02478,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1
0,0,1,0,1,choline chloride,glycerol,0.006,0.012,323.15,0.66,10.1016/j.fluid.2014.01.028,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
0,0,1,0,1,choline chloride,glycerol,0.022,0.044,353.15,0.67,10.1016/j.fluid.2014.01.028,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
0,0,1,0,1,choline chloride,urea,0.033,0.067,343.15,0.7,10.1021/je5001796,C[N+](C)(C)CCO.[Cl-],C(=O)(N)N
0,0,1,0,1,choline chloride,glycerol,0.013,0.027,333.15,0.7,10.1016/j.fluid.2014.01.028,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
0,0,0,0,1,l-alanine,hexanoic acid,0.333,0.667,313.15,0.7,10.1016/j.jcou.2022.102217,CC(C(=O)O)N,CCCCCC(=O)O
0,0,0,0,1,l-cystine,decanoic acid,0.333,0.667,318.15,0.7,10.1016/j.jcou.2022.102217,C(C(C(=O)O)N)SSCC(C(=O)O)N,CCCCCCCCCC(=O)O
0,0,0,0,1,l-histidine,oxalic acid,0.333,0.667,313.15,0.7,10.1016/j.jcou.2022.102217,C1=C(NC=N1)CC(C(=O)O)N,C(=O)(C(=O)O)O
0,0,0,0,1,ethylamine hydrochloride,triethylenetetramine,0.5,0.5,313.15,0.73,10.1016/j.cjche.2020.07.004,CCN.Cl,C(CNCCNCCN)N
0,0,1,0,1,choline chloride,glycerol,0.022,0.044,343.15,0.74,10.1016/j.fluid.2014.01.028,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
0,0,1,0,1,choline chloride,glycerol,0.033,0.066,363.15,0.77,10.1016/j.fluid.2014.01.028,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
0,0,1,0,0,acetylcholine chloride,imidazole,0.4,0.6,343.15,0.78,10.1021/acs.iecr.7b02478,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1
0,0,1,0,1,choline chloride,glycerol,0.006,0.012,313.15,0.79,10.1016/j.fluid.2014.01.028,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
0,0,1,0,1,choline chloride,urea,0.033,0.067,333.15,0.8,10.1021/je5001796,C[N+](C)(C)CCO.[Cl-],C(=O)(N)N
0,0,0,0,1,l-alanine,oxalic acid,0.333,0.667,313.15,0.8,10.1016/j.jcou.2022.102217,CC(C(=O)O)N,C(=O)(C(=O)O)O
0,0,0,0,1,l-histidine,decanoic acid,0.333,0.667,313.15,0.8,10.1016/j.jcou.2022.102217,C1=C(NC=N1)CC(C(=O)O)N,CCCCCCCCCC(=O)O
0,0,0,0,1,l-lysine,dodecanoic acid,0.333,0.667,313.15,0.8,10.1016/j.jcou.2022.102217,C(CCN)CC(C(=O)O)N,CCCCCCCCCCCC(=O)O
0,0,1,0,1,choline chloride,glycerol,0.013,0.027,323.15,0.82,10.1016/j.fluid.2014.01.028,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
0,0,1,0,1,choline chloride,urea,0.067,0.133,363.15,0.88,10.1021/je5001796,C[N+](C)(C)CCO.[Cl-],C(=O)(N)N
0,0,1,0,1,choline chloride,glycerol,0.022,0.044,333.15,0.88,10.1016/j.fluid.2014.01.028,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
0,0,1,0,1,choline chloride,glycerol,0.033,0.066,353.15,0.88,10.1016/j.fluid.2014.01.028,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
0,0,0,0,1,l-alanine,decanoic acid,0.333,0.667,313.15,0.9,10.1016/j.jcou.2022.102217,CC(C(=O)O)N,CCCCCCCCCC(=O)O
0,0,1,0,1,choline chloride,urea,0.033,0.067,323.15,0.92,10.1021/je5001796,C[N+](C)(C)CCO.[Cl-],C(=O)(N)N
0,0,0,0,1,l-lysine,decanoic acid,0.333,0.667,323.15,0.95,10.1016/j.jcou.2022.102217,C(CCN)CC(C(=O)O)N,CCCCCCCCCC(=O)O
0,0,1,0,1,choline chloride,glycerol,0.006,0.012,303.15,0.96,10.1016/j.fluid.2014.01.028,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
0,0,1,0,1,choline chloride,glycerol,0.013,0.027,313.15,0.98,10.1016/j.fluid.2014.01.028,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
0,0,1,0,1,choline chloride,urea,0.067,0.133,353.15,0.99,10.1021/je5001796,C[N+](C)(C)CCO.[Cl-],C(=O)(N)N
0,0,1,0,1,choline chloride,glycerol,0.033,0.066,343.15,1,10.1016/j.fluid.2014.01.028,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
0,0,0,0,1,l-histidine,dodecanoic acid,0.333,0.667,313.15,1,10.1016/j.jcou.2022.102217,C1=C(NC=N1)CC(C(=O)O)N,CCCCCCCCCCCC(=O)O
0,0,1,0,1,choline chloride,glycerol,0.048,0.095,363.15,1.03,10.1016/j.fluid.2014.01.028,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
0,0,1,0,1,choline chloride,glycerol,0.022,0.044,323.15,1.04,10.1016/j.fluid.2014.01.028,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
0,0,1,0,0,choline chloride,ethylene glycol,0.083,0.167,363.15,1.08,10.1016/j.molliq.2016.10.115,C[N+](C)(C)CCO.[Cl-],C(CO)O
0,0,1,0,1,choline chloride,levulinic acid,0.057,0.113,353.15,1.09,10.1016/j.jiec.2022.04.015,C[N+](C)(C)CCO.[Cl-],CC(=O)CCC(=O)O
0,0,1,0,1,choline chloride,phenol,0.025,0.075,333.15,1.09,10.1016/j.fluid.2021.113290,C[N+](C)(C)CCO.[Cl-],C1=CC=C(C=C1)O
0,0,1,0,1,choline chloride,urea,0.033,0.067,313.15,1.09,10.1021/je5001796,C[N+](C)(C)CCO.[Cl-],C(=O)(N)N
0,0,1,0,1,choline chloride,phenol,0.02,0.08,333.15,1.1,10.1016/j.fluid.2021.113290,C[N+](C)(C)CCO.[Cl-],C1=CC=C(C=C1)O
0,0,0,0,1,l-alanine,dodecanoic acid,0.333,0.667,313.15,1.1,10.1016/j.jcou.2022.102217,CC(C(=O)O)N,CCCCCCCCCCCC(=O)O
0,0,0,0,1,l-cystine,hexanoic acid,0.333,0.667,313.15,1.1,10.1016/j.jcou.2022.102217,C(C(C(=O)O)N)SSCC(C(=O)O)N,CCCCCC(=O)O
0,0,0,0,1,l-lysine,oxalic acid,0.333,0.667,313.15,1.1,10.1016/j.jcou.2022.102217,C(CCN)CC(C(=O)O)N,C(=O)(C(=O)O)O
0,0,1,0,1,choline chloride,urea,0.067,0.133,343.15,1.13,10.1021/je5001796,C[N+](C)(C)CCO.[Cl-],C(=O)(N)N
0,0,1,0,1,choline chloride,glycerol,0.033,0.066,333.15,1.18,10.1016/j.fluid.2014.01.028,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
0,0,1,0,1,choline chloride,glycerol,0.048,0.095,353.15,1.19,10.1016/j.fluid.2014.01.028,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
0,0,1,0,1,choline chloride,urea,0.333,0.5,298.15,1.2,10.1021/acs.jpcb.0c03876,C[N+](C)(C)CCO.[Cl-],C(=O)(N)N
0,0,0,0,1,l-histidine,hexanoic acid,0.333,0.667,308.15,1.2,10.1016/j.jcou.2022.102217,C1=C(NC=N1)CC(C(=O)O)N,CCCCCC(=O)O
0,0,0,0,1,l-histidine,oxalic acid,0.333,0.667,308.15,1.2,10.1016/j.jcou.2022.102217,C1=C(NC=N1)CC(C(=O)O)N,C(=O)(C(=O)O)O
0,0,0,0,1,l-lysine,hexanoic acid,0.333,0.667,303.15,1.2,10.1016/j.jcou.2022.102217,C(CCN)CC(C(=O)O)N,CCCCCC(=O)O
0,0,1,0,1,choline chloride,glycerol,0.006,0.012,293.15,1.21,10.1016/j.fluid.2014.01.028,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
0,0,1,0,1,choline chloride,glycerol,0.013,0.027,303.15,1.21,10.1016/j.fluid.2014.01.028,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
0,0,1,0,0,acetylcholine chloride,imidazole,0.4,0.6,333.15,1.23,10.1021/acs.iecr.7b02478,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1
0,0,1,0,0,choline chloride,ethylene glycol,0.083,0.167,353.15,1.23,10.1016/j.molliq.2016.10.115,C[N+](C)(C)CCO.[Cl-],C(CO)O
0,0,1,0,1,choline chloride,glycerol,0.022,0.044,313.15,1.27,10.1016/j.fluid.2014.01.028,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
0,0,1,0,1,choline chloride,urea,0.067,0.133,333.15,1.3,10.1021/je5001796,C[N+](C)(C)CCO.[Cl-],C(=O)(N)N
0,0,0,0,1,l-cystine,oxalic acid,0.333,0.667,313.15,1.3,10.1016/j.jcou.2022.102217,C(C(C(=O)O)N)SSCC(C(=O)O)N,C(=O)(C(=O)O)O
0,0,0,0,1,thymol,caprylic acid,0.421,0.579,373.15,1.3,10.1021/acssuschemeng.8b01203,CC1=CC(=C(C=C1)C(C)C)O,CCCCCCCC(=O)O
0,0,0,0,1,thymol,octanoic acid,0.42,0.58,378.15,1.3,http://pubs.acs.org/journal/acscii,CC1=CC(=C(C=C1)C(C)C)O,CCCCCCCC(=O)O
0,0,1,0,1,choline chloride,urea,0.033,0.067,303.15,1.31,10.1021/je5001796,C[N+](C)(C)CCO.[Cl-],C(=O)(N)N
0,0,1,0,1,choline chloride,phenol,0.025,0.075,323.15,1.32,10.1016/j.fluid.2021.113290,C[N+](C)(C)CCO.[Cl-],C1=CC=C(C=C1)O
0,0,1,0,1,choline chloride,phenol,0.02,0.08,323.15,1.33,10.1016/j.fluid.2021.113290,C[N+](C)(C)CCO.[Cl-],C1=CC=C(C=C1)O
0,0,1,0,1,choline chloride,urea,0.1,0.199,363.15,1.36,10.1021/je5001796,C[N+](C)(C)CCO.[Cl-],C(=O)(N)N
0,0,1,0,1,choline chloride,glycerol,0.048,0.095,343.15,1.38,10.1016/j.fluid.2014.01.028,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
0,0,1,0,1,choline chloride,glycerol,0.067,0.134,363.15,1.4,10.1016/j.fluid.2014.01.028,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
0,0,0,0,1,l-alanine,oxalic acid,0.333,0.667,308.15,1.4,10.1016/j.jcou.2022.102217,CC(C(=O)O)N,C(=O)(C(=O)O)O
0,0,0,0,1,l-cystine,decanoic acid,0.333,0.667,313.15,1.4,10.1016/j.jcou.2022.102217,C(C(C(=O)O)N)SSCC(C(=O)O)N,CCCCCCCCCC(=O)O
0,0,0,0,1,l-cystine,dodecanoic acid,0.333,0.667,313.15,1.4,10.1016/j.jcou.2022.102217,C(C(C(=O)O)N)SSCC(C(=O)O)N,CCCCCCCCCCCC(=O)O
0,0,1,0,0,choline chloride,ethylene glycol,0.083,0.167,343.15,1.41,10.1016/j.molliq.2016.10.115,C[N+](C)(C)CCO.[Cl-],C(CO)O
0,0,0,0,1,thymol,caprylic acid,0.421,0.579,368.15,1.41,10.1021/acssuschemeng.8b01203,CC1=CC(=C(C=C1)C(C)C)O,CCCCCCCC(=O)O
0,0,0,0,1,thymol,octanoic acid,0.42,0.58,373.15,1.41,http://pubs.acs.org/journal/acscii,CC1=CC(=C(C=C1)C(C)C)O,CCCCCCCC(=O)O
0,0,1,0,0,choline chloride,ethylene glycol,0.143,0.286,363.15,1.42,10.1016/j.molliq.2016.10.115,C[N+](C)(C)CCO.[Cl-],C(CO)O
0,0,1,0,1,choline chloride,glycerol,0.033,0.066,323.15,1.42,10.1016/j.fluid.2014.01.028,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
0,0,0,0,1,l-menthol,d-camphor,0.5,0.5,373.15,1.42,http://pubs.acs.org/journal/acscii,CC1CCC(C(C1)O)C(C)C,CC1(C2CCC1(C(=O)C2)C)C
0,0,0,0,1,l-menthol,caprylic acid,0.6,0.4,373.15,1.45,10.1021/acssuschemeng.8b01203,CC1CCC(C(C1)O)C(C)C,CCCCCCCC(=O)O
0,0,0,0,1,l-menthol,octanoic acid,0.6,0.4,373.15,1.45,http://pubs.acs.org/journal/acscii,CC1CCC(C(C1)O)C(C)C,CCCCCCCC(=O)O
0,0,0,0,1,acetic acid,l-menthol,0.5,0.5,353.15,1.46,10.1021/acssuschemeng.5b00532,CC(=O)O,CC1CCC(C(C1)O)C(C)C
0,0,0,0,1,dl-menthol,acetic acid,0.5,0.5,353.15,1.46,10.1021/acssuschemeng.5b00532,CC1CCC(C(C1)O)C(C)C,CC(=O)O
0,0,0,0,1,l-alanine,hexanoic acid,0.333,0.667,308.15,1.5,10.1016/j.jcou.2022.102217,CC(C(=O)O)N,CCCCCC(=O)O
0,0,0,0,1,l-histidine,decanoic acid,0.333,0.667,308.15,1.5,10.1016/j.jcou.2022.102217,C1=C(NC=N1)CC(C(=O)O)N,CCCCCCCCCC(=O)O
0,0,0,0,1,l-lysine,decanoic acid,0.333,0.667,308.15,1.5,10.1016/j.jcou.2022.102217,C(CCN)CC(C(=O)O)N,CCCCCCCCCC(=O)O
0,0,1,0,0,choline chloride,ethylene glycol,0.083,0.167,338.15,1.52,10.1016/j.molliq.2016.10.115,C[N+](C)(C)CCO.[Cl-],C(CO)O
0,0,1,0,1,choline chloride,glycerol,0.013,0.027,293.15,1.53,10.1016/j.fluid.2014.01.028,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
0,0,0,0,1,l-menthol,trans-sobrerol,0.95,0.05,373.15,1.53,http://pubs.acs.org/journal/acscii,CC1CCC(C(C1)O)C(C)C,CC1=CCC(CC1O)C(C)(C)O
0,0,1,0,1,choline chloride,urea,0.067,0.133,323.15,1.54,10.1021/je5001796,C[N+](C)(C)CCO.[Cl-],C(=O)(N)N
0,0,0,0,1,l-menthol,thymol,0.5,0.5,373.15,1.54,http://pubs.acs.org/journal/acscii,CC1CCC(C(C1)O)C(C)C,CC1=CC(=C(C=C1)C(C)C)O
0,0,0,0,1,thymol,caprylic acid,0.421,0.579,363.15,1.54,10.1021/acssuschemeng.8b01203,CC1=CC(=C(C=C1)C(C)C)O,CCCCCCCC(=O)O
0,0,0,0,1,thymol,stearic acid,0.9,0.1,373.15,1.54,10.1021/acssuschemeng.8b01203,CC1=CC(=C(C=C1)C(C)C)O,CCCCCCCCCCCCCCCCCC(=O)O
0,0,0,0,1,thymol,octadecanoic acid,0.9,0.1,373.15,1.54,http://pubs.acs.org/journal/acscii,CC1=CC(=C(C=C1)C(C)C)O,CCCCCCCCCCCCCCCCCC(=O)O
0,0,0,0,1,thymol,octanoic acid,0.42,0.58,368.15,1.54,http://pubs.acs.org/journal/acscii,CC1=CC(=C(C=C1)C(C)C)O,CCCCCCCC(=O)O
0,0,1,0,1,choline chloride,urea,0.1,0.199,353.15,1.55,10.1021/je5001796,C[N+](C)(C)CCO.[Cl-],C(=O)(N)N
0,0,0,0,1,l-menthol,d-camphor,0.5,0.5,368.15,1.56,http://pubs.acs.org/journal/acscii,CC1CCC(C(C1)O)C(C)C,CC1(C2CCC1(C(=O)C2)C)C
0,0,1,0,1,choline chloride,glycerol,0.022,0.044,303.15,1.57,10.1016/j.fluid.2014.01.028,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
0,0,0,0,1,thymol,capric acid,0.5,0.5,373.15,1.57,10.1021/acssuschemeng.8b01203,CC1=CC(=C(C=C1)C(C)C)O,CCCCCCCCCC(=O)O
